area_id,lat,lon,cluster
1,42.0016981937,-87.6735740325,5
2,42.0013132491,-87.684198195,5
3,41.9670117607,-87.6706210432,5
4,41.9833308063,-87.681993542,5
5,41.9357494591,-87.6809803011,5
6,41.9383912577,-87.6385749205,5
7,41.9217783562,-87.6414597588,5
8,41.8919715078,-87.6129454143,2
9,42.0056080233,-87.8130981301,1
10,41.9956031347,-87.7942692959,1
11,41.9752809258,-87.7832380336,1
12,41.991119555,-87.7400551895,1
13,41.9865581808,-87.7133688039,5
14,41.968069,-87.7215590627,1
15,41.9497090767,-87.7521184147,1
16,41.9535821253,-87.7234523905,1
17,41.9420534671,-87.7812865619,1
18,41.9255880881,-87.7976006842,1
19,41.9195645564,-87.7509798603,1
20,41.9196352314,-87.7296791339,1
21,41.9386661962,-87.7112105933,5
22,41.9227606205,-87.6991553432,5
23,41.9066839592,-87.7103539349,1
24,41.8997373884,-87.6649539167,2
25,41.9129253704,-87.7753675003,1
26,41.8770442134,-87.7328887938,1
27,41.87161966,-87.7055526328,2
28,41.874005383,-87.6635175498,2
29,41.8551039667,-87.7322454045,4
30,41.8390869059,-87.714003807,4
31,41.8555013528,-87.683227168,2
32,41.8706073724,-87.6221729369,2
33,41.859349715,-87.6173580061,2
34,41.8418752811,-87.6320285927,2
35,41.8416911186,-87.6125639471,2
36,41.8204569069,-87.6006915709,0
37,41.8090844303,-87.6324245245,0
38,41.8129489392,-87.6178596758,0
39,41.8059116993,-87.5874792581,0
40,41.7910416602,-87.6231795767,0
41,41.794090253,-87.592310855,0
42,41.7788768603,-87.5949254391,0
43,41.7696904664,-87.5813495087,0
44,41.7482105124,-87.6100749663,0
45,41.7441995348,-87.5863483178,6
46,41.7412427285,-87.551428197,6
47,41.7281820611,-87.5964755956,6
48,41.727560391,-87.5590602859,6
49,41.7065878819,-87.6233665115,3
50,41.7061257523,-87.5982558383,6
51,41.6906333472,-87.5700582686,6
52,41.707311449,-87.5349029012,6
53,41.6738199043,-87.6357397768,3
54,41.6673653039,-87.6053162829,6
55,41.6636706517,-87.5409355129,6
56,41.7925923603,-87.7696154528,4
57,41.8108790078,-87.7263633246,4
58,41.8173662079,-87.6988607973,4
59,41.8268330147,-87.6729255394,2
60,41.8361501547,-87.6487879519,2
61,41.8090182499,-87.6591665992,2
62,41.7895012715,-87.7303971516,4
63,41.7974277095,-87.6890166432,4
64,41.7795828877,-87.768510849,4
65,41.7822169695,-87.7301873353,4
66,41.7681062939,-87.6980008039,4
67,41.7759288274,-87.6665962653,4
68,41.7691898164,-87.6384969156,0
69,41.7546793318,-87.6198449905,0
70,41.7513371286,-87.7268701739,4
71,41.7405850222,-87.6698353627,3
72,41.713903063,-87.677143472,3
73,41.7142521521,-87.6381750671,3
74,41.6948789661,-87.7131924966,3
75,41.6897299145,-87.6690544032,3
76,41.9867117999,-87.6634164054,5
