rider_id,arrival_week,arrival_time,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,pickup_area,dropoff_area,solo_length,min_WTP,max_WTP,tolerance,min_tol
0,1,1,41.81294894,-87.61785968,41.76157791,-87.57278199,38,43,4.241617274,0.554783351,0.981047221,26.88595801,-1
1,1,2,41.89973739,-87.66495392,41.93057857,-87.64220631,24,7,2.430784082,0.494203919,0.981047221,-1,1
2,1,3,41.74821051,-87.61007497,41.94269184,-87.65177051,44,6,13.60768001,0.514955505,0.981047221,-1,0
3,1,5,41.87060737,-87.62217294,41.93631013,-87.65156259,32,6,4.784597668,0.516707455,0.981047221,-1,14
4,1,6,41.89197151,-87.61294541,41.87740612,-87.62197165,8,32,1.108315442,0.379351178,0.981047221,37.26998846,-1
5,1,8,41.9049353,-87.64990723,41.88099447,-87.63274649,8,32,1.874899555,0.368467719,0.981047221,-1,3
6,1,9,41.79104166,-87.62317958,41.82016661,-87.62149921,40,38,2.01420224,0.35001939,0.552184672,-1,-1
7,1,9,41.96701176,-87.67062104,41.94987643,-87.73814189,3,16,3.665675165,0.558448405,0.981047221,-1,17
8,1,11,41.92177836,-87.64145976,41.88498719,-87.62099291,7,32,2.751298806,0.466403155,0.981047221,-1,0
9,1,11,41.90665077,-87.66533766,41.87925508,-87.642649,24,28,2.223661659,0.457902367,0.981047221,-1,25
10,1,11,41.71425215,-87.63817507,41.71467495,-87.59493309,73,50,2.230447213,0.35001939,0.640875083,-1,-1
11,1,12,41.6738199,-87.63573978,41.79235722,-87.61793138,53,40,8.241460319,0.70018182,0.981047221,0.144298133,-1
12,1,19,41.74124273,-87.5514282,41.87886558,-87.62519214,46,32,10.23956881,0.58784339,0.981047221,-1,0
13,1,21,41.90663854,-87.68957983,41.88099447,-87.63274649,24,32,3.418134556,0.35001939,0.525762507,-1,-1
14,1,22,41.87400538,-87.66351755,41.86019002,-87.7172201,28,29,2.923415662,0.391091069,0.981047221,-1,93
15,1,25,41.9867118,-87.66341641,41.87400538,-87.66351755,76,28,7.787273484,0.35001939,0.672886342,-1,-1
16,1,26,41.77887686,-87.59492544,41.87400538,-87.66351755,42,28,7.461429859,0.35001939,0.58336598,-1,-1
17,1,26,42.00131325,-87.6841982,41.94481375,-87.69077501,2,5,3.918334692,0.614524266,0.981047221,-1,0
18,1,28,41.8059117,-87.58747926,41.87866742,-87.67165362,39,28,6.636477357,0.35001939,0.527982408,-1,-1
19,1,33,41.77592883,-87.66659627,41.87400538,-87.66351755,67,28,6.778298347,0.576878468,0.981047221,-1,43
20,1,35,41.91292537,-87.7753675,41.93505815,-87.73762,25,20,2.470654057,0.35001939,0.629907384,-1,-1
21,1,36,41.89830587,-87.65361398,41.870415,-87.67508562,24,28,2.22115393,0.543791335,0.981047221,-1,0
22,1,36,41.80901825,-87.6591666,41.84207612,-87.63397342,61,34,2.626698655,0.35001939,0.589302296,-1,-1
23,1,37,41.9867118,-87.66341641,41.96581197,-87.65587879,76,3,1.495044266,0.35001939,0.677257363,-1,-1
24,1,45,41.94970908,-87.75211841,41.95726411,-87.73089878,15,16,1.208861409,0.35001939,0.7332985,-1,-1
25,1,45,41.92276062,-87.69915534,41.87400538,-87.66351755,22,28,3.834975612,0.35001939,0.599566683,-1,-1
26,1,46,41.72818206,-87.5964756,41.80026009,-87.61757617,47,40,5.097460927,0.35001939,0.722525062,-1,-1
27,1,47,41.90026569,-87.63210922,41.88099447,-87.63274649,8,32,1.331917599,0.357810957,0.981047221,-1,30
28,1,51,41.84169112,-87.61256395,41.92861905,-87.68536202,35,22,7.077872317,0.35001939,0.493796564,-1,-1
29,1,53,41.93574946,-87.6809803,41.88099447,-87.63274649,5,32,4.52372038,0.35001939,0.700281021,-1,-1
30,1,59,41.93839126,-87.63857492,41.88528132,-87.6572332,6,28,3.792881739,0.423296707,0.981047221,-1,6
31,1,63,41.79104166,-87.62317958,41.88498719,-87.62099291,40,32,6.491993947,0.35001939,0.599154155,-1,-1
32,1,65,41.99422523,-87.68607688,41.89833179,-87.62076287,2,8,7.427283236,0.694364206,0.981047221,-1,0
33,1,66,41.92276062,-87.69915534,41.96581197,-87.65587879,22,3,3.714080306,0.527278407,0.981047221,67.52810029,-1
34,1,68,41.76810629,-87.6980008,41.79050626,-87.58314372,66,41,6.116943327,0.663677453,0.981047221,-1,70
35,1,71,41.84187528,-87.63202859,41.88498719,-87.62099291,34,32,3.032393316,0.35001939,0.620139306,-1,-1
36,1,73,41.89249317,-87.66474584,41.87925508,-87.642649,24,28,1.458948189,0.35001939,0.487439206,-1,-1
37,1,74,41.75467933,-87.61984499,41.80385078,-87.62121999,69,38,3.398162415,0.35001939,0.655850554,-1,-1
38,1,76,41.79259236,-87.76961545,41.81087901,-87.72636332,56,57,2.561105333,0.545613195,0.981047221,218.0525945,-1
39,1,76,41.79409025,-87.59231086,41.90120699,-87.67635599,41,24,8.572494724,0.662155963,0.981047221,-1,0
40,1,77,41.89092203,-87.61886835,41.88099447,-87.63274649,8,32,0.990003001,0.547772218,0.981047221,-1,0
41,1,79,41.90749193,-87.63576009,41.88099447,-87.63274649,8,32,1.837349256,0.499633131,0.981047221,-1,3
42,1,79,41.89503345,-87.61971067,41.92904694,-87.65131088,8,7,2.857092451,0.406088798,0.981047221,54.19022317,-1
43,1,82,41.90120699,-87.67635599,41.89960211,-87.63330804,24,8,2.216589638,0.507994886,0.981047221,-1,0
44,1,84,41.90663854,-87.68957983,41.91185659,-87.71008732,24,23,1.114417192,0.370784221,0.981047221,106.282137,-1
45,1,84,41.98722556,-87.66493772,41.88099447,-87.63274649,76,32,7.524056498,0.35001939,0.628371545,-1,-1
46,1,85,41.82019789,-87.6101001,41.88498719,-87.62099291,38,32,4.511480409,0.35001939,0.653098051,-1,-1
47,1,85,41.88530002,-87.64280847,41.87740612,-87.62197165,28,32,1.202673533,0.35001939,0.44433638,-1,-1
48,1,86,41.94258518,-87.65664409,41.88099447,-87.63274649,6,32,4.429359849,0.35001939,0.461182408,-1,-1
49,1,89,41.91574119,-87.69225633,41.88099447,-87.63274649,22,32,3.889769728,0.35001939,0.446651064,-1,-1
50,1,91,41.90663854,-87.68957983,41.8979839,-87.64149153,24,8,2.544219972,0.354012412,0.981047221,-1,38
51,1,92,41.91956456,-87.75097986,41.9428593,-87.71750386,19,21,2.356150401,0.673788847,0.981047221,-1,2
52,1,93,41.89321636,-87.63784421,41.88099447,-87.63274649,8,32,0.884225814,0.392325623,0.981047221,-1,15
53,1,94,41.74058502,-87.66983536,41.81320094,-87.60420922,71,39,6.050401622,0.35001939,0.558380472,-1,-1
54,1,94,41.89862542,-87.75201156,41.93740179,-87.7223303,25,21,3.083295417,0.568073102,0.981047221,-1,0
55,1,99,41.84169112,-87.61256395,41.88530002,-87.64280847,35,28,3.391266899,0.470502989,0.981047221,9.394072298,-1
56,1,107,41.95358213,-87.72345239,41.968069,-87.72155906,16,14,1.005663378,0.632075311,0.981047221,40.80523691,-1
