rider_id,arrival_week,arrival_time,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,pickup_area,dropoff_area,solo_length,quoted_price,convert_or_not,waiting_time,matching_outcome
0,1,1.0,41.8129489392,-87.6178596758,41.7615779081,-87.5727819867,38,43,4.241617274164078,0.5547833509405149,1,26.885958012283705,
1,1,2.0,41.8997373884,-87.6649539167,41.9305785697,-87.6422063127,24,7,2.4307840815105526,0.4942039186884316,1,1.0,2.0
2,1,3.0,41.7482105124,-87.6100749663,41.9426918444,-87.6517705068,44,6,13.607680006792048,0.514955504963469,1,0.0,1.0
3,1,5.0,41.8706073724,-87.6221729369,41.9363101308,-87.6515625922,32,6,4.784597668302254,0.516707454526368,1,14.0,12.0
4,1,6.0,41.8919715078,-87.6129454143,41.8774061234,-87.6219716519,8,32,1.1083154424693848,0.3793511781634226,1,37.26998846218224,
5,1,8.0,41.9049353016,-87.6499072264,41.8809944707,-87.6327464887,8,32,1.8748995554712309,0.3684677189537595,1,3.0,8.0
6,1,9.0,41.7910416602,-87.6231795767,41.8201666062,-87.621499206,40,38,2.0142022395704293,0.5521846722755341,0,,
7,1,9.0,41.9670117607,-87.6706210432,41.9498764323,-87.7381418906,3,16,3.6656751648581984,0.5584484054086095,1,17.0,17.0
8,1,11.0,41.9217783562,-87.6414597588,41.8849871918,-87.6209929134,7,32,2.751298806435257,0.466403154846134,1,0.0,5.0
9,1,11.0,41.9066507664,-87.6653376596,41.8792550844,-87.642648998,24,28,2.2236616593738683,0.4579023668006714,1,25.0,21.0
10,1,11.0,41.7142521521,-87.6381750671,41.7146749464,-87.5949330919,73,50,2.2304472128359905,0.640875082880659,0,,
11,1,12.0,41.6738199043,-87.6357397768,41.7923572233,-87.6179313803,53,40,8.24146031871847,0.7001818200793519,1,0.1442981330053623,
12,1,19.0,41.7412427285,-87.551428197,41.8788655841,-87.6251921424,46,32,10.23956880899486,0.5878433899463035,1,0.0,3.0
13,1,21.0,41.9066385418,-87.6895798343,41.8809944707,-87.6327464887,24,32,3.418134555805768,0.5257625072781891,0,,
14,1,22.0,41.874005383,-87.6635175498,41.8601900192,-87.7172201,28,29,2.92341566244442,0.3910910686395852,1,93.0,62.0
15,1,25.0,41.9867117999,-87.6634164054,41.874005383,-87.6635175498,76,28,7.787273484315775,0.6728863420356805,0,,
16,1,26.0,41.7788768603,-87.5949254391,41.874005383,-87.6635175498,42,28,7.461429859201919,0.5833659804734254,0,,
